,Name,"Size, B",Type,Min. Value,Max. Value,Multiplier; offset,Units,Error values,IO Explanation and Notes,Averaging,Event On Change,Event On Hysteresis,Eco5,Plug5,HCV5 Lite / Pro5 Lite,Pro5,HCV5,LCV5,Trace5-LTM / Trace5-LTM-NA,Trace5-LTE / Trace5-LTM (Rev.A) / Trace5-2G,Basic,ECO4 UBI,Eco4,Eco4 S,Eco4 T,Eco4 RS T,Pro4,Tco4 HCV,Tco4 LCV,Plug4,Pro4 BT,Tco4 HCV BT,Tco4 LCV BT,Eco3,Pro3,Tco3 TCO,Tco3 OBD
483,CAN Fuel type,1,Unsigned int.,0,250,-,-,254,"FMS parameter, SPN 5837:
00-Not available
01-Gasoline/petrol
02-Methanol
03-Ethanol
04-Diesel
05-Liquefied Petroleum Gas (LPG)
06-Compressed Natural Gas (CNG)
07-Propane
08-Battery/electric
09-Bi-fuel vehicle using gasoline
10-Bi-fuel vehicle using methanol
11-Bi-fuel vehicle using ethanol
12-Bi-fuel vehicle using LPG
13-Bi-fuel vehicle using CNG
14-Bi-fuel vehicle using propane
15-Bi-fuel vehicle using battery
16-Bi-fuel vehicle using battery and combustion
17-Hybrid vehicle using gasoline engine
18-Hybrid vehicle using gasoline engine on ethanol
19-Hybrid vehicle using diesel engine
20-Hybrid vehicle using battery
21-Hybrid vehicle using battery and combustion
22-Hybrid vehicle in regeneration mode
23-Natural Gas (NG)
24-Bi-fuel vehicle using NG
25-Bi-fuel using diesel
26-Natural Gas (Compressed or Liquefied Natural Gas)
27-Dual Fuel – Diesel and CNG
28-Dual Fuel – Diesel and LNG
29-Fuel Cell Utilizing Hydrogen Engine
30-Hydrogen Internal Combustion 
31-Kerosene
32-Heavy Fuel Oil
33-253-ISO/SAE reserved
254-Error
255-Not available (Parameter not supported)",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,-,-,-,,,,
484,CAN Total Fuel Used Gaseous,4,Unsigned int.,0,4211081215,0.5; 0,kg,4261412864 - 4278190079,"FMS parameter, SPN 1040
20000=10000kg",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,-,-,-,,,,
485,CAN Cruise Control States,1,Unsigned int.,0,7,-,-,7,"FMS parameter, SPN 527:
0 - Off/Disabled
1 – Hold
2 – Accelerate
3 – Decelerate
4 – Resume
5 – Set
6 – Accel. Override
7 - Not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,-,-,-,,,,
486,CAN Hybrid Battery Pack Remaining Charge,2,Unsigned int.,0,64255,0.0025; 0,%,65024 to 65279,"FMS parameter, SPN 5464
0 to 160.6375 %",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,-,-,-,,,,
487,CAN Steering Wheel Angle,2,Unsigned int.,0,64255,1/1024; -31.374,rad,65024 to 65279,"FMS parameter, SPN 1807
from -31.374 to 31,374 rad",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,-,-,-,,,,
515,CAN EV State of charge % (SOC),1,Unsigned int.,0,255,0.5,%,0xFF,Remaining charge percentage for battery 1,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
516,CAN EV Distance until recharge,2,Unsigned int.,0,65535,-,km,0xFFFF,Remaining distance for battery 1,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
517,CAN EV Battery charging state,1,Unsigned int.,0,255,-,-,0xFF,"Charging status for battery 1:
1 - Charging
0 - Not charging
255 - Unknown
Other - Unspecified",No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
518,CAN LCV doors state,1,Bitmap,0,255,-,-,0xFF,"0b -> Front Left; 1b -> Front Right; 2b -> Back Left;
3b -> Back Right; 5b -> Trunk; 6b -> Bonnet.",No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
519,CAN actual engine percent load,1,Unsigned int.,0,250,-125 offset,%,254,"FMS parameter SPN 513 Actual engine - Percent Torque
The calculated output torque of the engine. The data is transmitted in indicated torque as a percent of reference engine torque",No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
520,CAN Hours to service,4,Signed int.,‭-2147483648‬,‭2147483647‬,-,min,-,,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
521,CAN EV State of charge Wh (SOC),4,Unsigned int.,0,4294967295,-,Wh,-,Remaining energy in battery 1 (Wh),No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
522,CAN ignition,1,Unsigned int.,0,1,-,-,-,"0 - ignition OFF, 1 - ignition ON",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
523,CAN LCV windows position,8,Bitmap,0,255,0.392,%,0xFFFFFFFFFFFFFFFF,"VAG group vehicles: percentage, how much the windows are opened (range from 0 to 255)
Other vehicles: window state (0 - closed, 1 - opened)
0b -> Front Left; 1b -> Front Right; 2b -> Back Left;
3b -> Back Right; 7b -> Sunroof.",No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
525,Device uptime,4,Unsigned int.,0,4294967295,-,s,-,Time period since device startup,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,
526,ECO stops counter,2,Unsigned int.,0,65535,-,-,-,Number of vehicle stops (CAN wheel based speed = 0) since last record,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,,,,
527,ECO braking distance,2,Unsigned int.,0,65535,5,m,-,"Distance, travelled while brake pedal was pressed since last record",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,,,,
528,ECO braking duration,2,Unsigned int.,0,65535,-,s,-,Time period when brake pedal was pressed and vehicle speed (CAN) was not 0 since last record,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,,,,
529,ECO retarder duration,2,Unsigned int.,0,65535,-,s,-,Time period when retarder torque mode was not 0 since last record,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,,,,
530,CAN fuel level milliliters,4,Unsigned int.,0,4294967294,-,ml,0xFFFFFFFF,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
537,Registration alert,1,Unsigned int.,0,1,-,-,-,"0 - no alarm, 1 – registration alert",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
538,CAN door lock state,1,Unsigned int.,0,255,-,-,-,"0 - unlocked
1 - locked
255 - not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
539,ECO RPM in red band distance,4,Unsigned int.,0,4294967295,-,m,-,"Driven mileage, while vehicle's RPM is in red zone",No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,,,,
540,ECO fuel used while idling,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
541,ECO free rolling distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
542,ECO engine overloaded distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
543,ECO engine overloaded fuel used,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
544,ECO overspeeding distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
545,ECO overspeeding fuel used,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
546,ECO cruise control on distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
547,ECO cruise control on fuel used,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
548,ECO highest gear distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
549,ECO highest gear fuel used,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
550,ECO RPM range1 distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
551,ECO RPM range1 fuel used,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
552,ECO RPM range2 distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
553,ECO RPM range2 fuel used,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
554,ECO RPM range3 distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
555,ECO RPM range3 fuel used,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
556,ECO RPM range4 distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
557,ECO RPM range4 fuel used,2,Unsigned int.,0,65535,-,ml,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
560,GSM Extended Error Report,2,Unsigned int.,0,65535,-,-,-,Error code received from the GSM provider,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
561,Trailers Status1,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Bitmap (only the first two bits contain actual information on each byte):
Byte pos 1 - Vehicle ABS status: 00 - vehicle ABS passive, but installed, 01 - vehicle ABS active, 10 - error indicator, 11 - not available or not installed
Byte pos 2 - Vehicle service brake status: 00 - vehicle service brake passive, 01 - vehicle service brake active, 10 - error indicator, 11 - not available or not installed
Byte pos 3 - VDC active: 00 - VDC passive, 01 - VDC active, 10 - error indicator, 11 - not available or not installed
Byte pos 4 - Vehicle electrical supply status: 00 - electrical supply insufficient, 01 - electrical supply sufficient, 10 - error indicator, 11 - not available or not installed
Byte pos 5 - External brake request status: 00 - no external brake request active, 01 - external brake request active, 10 - error indicator, 11 - not available or not installed
Byte pos 6 - Braking via electric control line support: 00 - braking via electrical control line not supported, 01 - braking via electrical control line supported, 10 - error indicator, 11 - not available or not installed
Byte pos 7 - Electrical supply of non-braking system status: 00 - supply of non-braking systems off, 01 - supply of non-braking systems on, 10 - error indicator, 11 - not available or not installed
Byte pos 8 - Electrical load proportional function installation status: 00 - vehicle without electrical load proportional function, 01 - vehicle with electrical load proportional function, 10 - error indicator, 11 - not available or not installed",No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
562,Trailers Status2,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"Bitmap (only the first two bits contain actual information on each byte):
Byte pos 1 - Vehicle type: 00 - towing or towed vehicle, 01 - converter dolly axle, 10 - error indicator, 11 - not available or not installed
Byte pos 2 - Stop lamps request: 00 - Stop lamps illumination not requested, 01 - Stop lamps illumination requested, 10 - error indicator, 11 - not available or not installed
Byte pos 3 - Red warning signal request: 00- Red warning signal off, 01 - red warning signal on, 10 - error indicator, 11 - not available or not installed
Byte pos 4 - Amber warning signal request: 00 - Amber warning signal off, 01 - Amber warning signal on, 10 - Amber warning signal flashing, 11 - not available or not installed
Byte pos 5 - Vehicle pneumatic supply status: 00 - Vehicle pneumatic supply insufficient, 01 - Vehicle pneumatic supply sufficient, 10 - error indicator, 11 - not available or not installed
Byte pos 6-8 - Empty",No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
563,Trailers Braking system wheel–based vehicle speed,2,Unsigned int.,0,65535,1/256,km/h,-,,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
564,Trailers Wheel speed difference main axle,2,Unsigned int.,0,65535,1/256; offset -125,km/h,-,,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
565,Trailers Lateral acceleration,1,Unsigned int.,0,255,1/10; offset -12.5,m/s^2,-,,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
566,Trailers Axle load sum,2,Unsigned int.,0,65535,2,kg,-,,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
567,Trailers Pneumatic supply pressure,1,Unsigned int.,0,255,5,kPa,-,,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
568,Trailers Brake cylinder pressure first axle,2,Bitmap,0,65535,5,kPa,-,"Bitmap:
Brake cylinder pressure first axle, left wheel (LSB).
Brake cylinder pressure first axle, right wheel.",Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
569,Trailers Brake cylinder pressure second axle,2,Bitmap,0,65535,5,kPa,-,"Bitmap:
Brake cylinder pressure second axle, left wheel (LSB).
Brake cylinder pressure second axle, right wheel.",Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
570,Trailers Brake cylinder pressure third axle,2,Bitmap,0,65535,5,kPa,-,"Bitmap:
Brake cylinder pressure third axle, left wheel (LSB).
Brake cylinder pressure third axle, right wheel.",Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
571,Trailers High resolution vehicle distance,4,Unsigned int.,0,4211081215,5,m,-,10000=50000m,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
572,Trailers Service distance,2,Unsigned int.,0,65535,5; -160635 offset,km,-,32327=1000km (negative means service passed),No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
573,CAN LCV configuration,8,Bitmap,0,0xFFFFFFFFFFFFFFFF,-,-,-,"0B to 1B -> CAN2 subgroup: Decimal number (MSB)
2B to 3B -> CAN1 subgroup: Decimal number
4B to 5B -> CAN2 group: VAG = 1,MERCEDES = 2,CITROEN = 3,FORD = 4,FIAT = 5,OPEL = 6,RENAULT = 7,TOYOTA = 8,TRACTOR = 9,TRUCK = 10,HYUNDAI = 11,LEXUS = 12,VOLVO = 13,BMW = 14,NISSAN = 15,HONDA = 16,MITSUBISHI = 17,SUBARU = 18,CHRYSLER = 19,ISUZU = 20,SSANGYONG = 21,MAZDA = 22,KOMATSU = 23,RANGEROVER = 24,CLAAS = 25,SAAB = 26,LANDROVER = 27,PORSCHE = 28,KIA = 29,JAGUAR = 30,INFINITI = 31,LINDE = 32,HITACHI = 33,SUZUKI = 34
6B to 7B -> CAN1 group: VAG = 1,MERCEDES = 2,CITROEN = 3,FORD = 4,FIAT = 5,OPEL = 6,RENAULT = 7,TOYOTA = 8,TRACTOR = 9,TRUCK = 10,HYUNDAI = 11,LEXUS = 12,VOLVO = 13,BMW = 14,NISSAN = 15,HONDA = 16,MITSUBISHI = 17,SUBARU = 18,CHRYSLER = 19,ISUZU = 20,SSANGYONG = 21,MAZDA = 22,KOMATSU = 23,RANGEROVER = 24,CLAAS = 25,SAAB = 26,LANDROVER = 27,PORSCHE = 28,KIA = 29,JAGUAR = 30,INFINITI = 31,LINDE = 32,HITACHI = 33,SUZUKI = 34",No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
574,CAN Interface configuration,2,Bitmap,0,65535,-,-,-,"0b to 7b->CAN Interface parameters:
0b -> CAN2 mode: 0 – silent, 1 – active (MSB)
1b ->CAN2 Auto baud rate: 0 – off, 1 - on.
2b -> CAN2 FF filters: 0 – off, 1 - on.
3b -> CAN2 activity: 0 – inactive, 1 - active.
4b -> CAN1 mode: 0 – silent, 1 - active.
5b ->CAN1 Auto baud rate: 0 – off, 1 - on.
6b -> CAN1 FF filters: 0 – off, 1 - on.
7b -> CAN1 activity: 0 – inactive, 1 - active.
8b to 11b -> CAN2 interface:
0 – NONE.
1 – FMS = 1.
2 – LCV = 2.
3 – OBD = 3.
4 – TACHO.
5 – MOBILEYE.
6 – TRAILERS.
7 – DXP.
12b to 15b -> CAN1 interface:
0 – NONE.
1 – FMS = 1.
2 – LCV = 2.
3 – OBD = 3.
4 – TACHO.
5 – MOBILEYE.
6 – TRAILERS.
7 – DXP.
",No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
575,Wireless Driver ID,8,Unsigned int.,0,65535,-,-,-,,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,,
576,Shock Duration,2,Unsigned int.,20,5000,1,ms,-,Shows duration of the Shock in milliseconds,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
583,Trip status,1,Unsigned int.,0,3,-,-,-,"Indicates driver dual registration status.
0 – Unregistered
1 – Registration in progress
2 – Registration complete
3 – Registration is not performed, but car is moving (Engine off and speed > 10km/h)",No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
584,G Peak X,2,Signed int.,-4000,4000,-,mg,-,"Show how many g*1000 in x  axis in a peak of a shock,g is equal to the force of gravity at the Earth's surface, which is 9.8 meters per second square",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
585,G Peak Y,2,Signed int.,-4000,4000,-,mg,-,"Show how many g*1000 in y axis in a peak of a shock, g is equal to the force of gravity at the Earth's surface, which is 9.8 meters per second square",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
586,G Peak Z,2,Signed int.,-4000,4000,-,mg,-,"Show how many g*1000 in z axis in a peak of a shock, g is equal to the force of gravity at the Earth's surface, which is 9.8 meters per second square",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
587,CAN engine air intake temperature,1,Unsigned int.,0,250,1; -40,°C,254,"SAE J1939-71 standard, SPN 172
0=-40 ̊C, 250 =210 ̊C",No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,
597,ECO engine braking distance,2,Unsigned int.,0,65535,5,m,-,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,,,,
600,BT Temperature Sensor 0,2,Signed int.,-32700,32700,0.01,°C,"0x7FFF Sensor not available
0x7FFE Abnormality
0x7FFD No data",Temperature measured by BT sensor 0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
601,BT Temperature Sensor 1,2,Signed int.,-32700,32700,0.01,°C,"0x7FFF Sensor not available
0x7FFE Abnormality
0x7FFD No data",Temperature measured by BT sensor 1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
602,BT Temperature Sensor 2,2,Signed int.,-32700,32700,0.01,°C,"0x7FFF Sensor not available
0x7FFE Abnormality
0x7FFD No data",Temperature measured by BT sensor 2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
603,BT Temperature Sensor 3,2,Signed int.,-32700,32700,0.01,°C,"0x7FFF Sensor not available
0x7FFE Abnormality
0x7FFD No data",Temperature measured by BT sensor 3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
604,BT Temperature Sensor 4,2,Signed int.,-32700,32700,0.01,°C,"0x7FFF Sensor not available
0x7FFE Abnormality
0x7FFD No data",Temperature measured by BT sensor 4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
605,BT Humidity Sensor 0,2,Unsigned int.,0,10000,0.01,%,"0xFFFF Sensor not available
0xFFFE Abnormality
0xFFFD No data",Relative humidity measured by BT sensor 0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
606,BT Humidity Sensor 1,2,Unsigned int.,0,10000,0.01,%,"0xFFFF Sensor not available
0xFFFE Abnormality
0xFFFD No data",Relative humidity measured by BT sensor 1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
607,BT Humidity Sensor 2,2,Unsigned int.,0,10000,0.01,%,"0xFFFF Sensor not available
0xFFFE Abnormality
0xFFFD No data",Relative humidity measured by BT sensor 2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
608,BT Humidity Sensor 3,2,Unsigned int.,0,10000,0.01,%,"0xFFFF Sensor not available
0xFFFE Abnormality
0xFFFD No data",Relative humidity measured by BT sensor 3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
609,BT Humidity Sensor 4,2,Unsigned int.,0,10000,0.01,%,"0xFFFF Sensor not available
0xFFFE Abnormality
0xFFFD No data",Relative humidity measured by BT sensor 4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
611,Angle X-axis,2,Signed int.,-180,180,-,°,-,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
612,Angle Y-axis,2,Signed int.,-180,180,-,°,-,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
613,Angle Z-axis,2,Signed int.,-180,180,-,°,-,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,
614,Trailers VIN,8,String,0x00,0xFFFFFFFFFFFFFFFF,-,-,0xFFFFFFFFFFFFFFFF: VIN not available,,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
615,Not displayed,8,String,0x00,0xFFFFFFFFFFFFFFFF,-,-,0xFFFFFFFFFFFFFFFF: VIN not available,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
616,Not displayed,8,String,0x00,0xFFFFFFFFFFFFFFFF,-,-,0xFFFFFFFFFFFFFFFF: VIN not available,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
626,CAN DTC Indication lights,2,String,0x00,0xFFFF,-,-,-,Output is formatted according to J1939 standard.,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,,,,
642,"OBD Fuel Level, L",2,Unsigned int.,0,0xFFFF or 65535,-,l,0xFFFF - Fuel level not available,Provides fuel level retrieved from OBD socket,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,
